gs_cat,gs_subcat,gs_name,entrez_gene,gene_symbol,human_entrez_gene,human_gene_symbol,gs_id,gs_pmid,gs_geoid,gs_exact_source,gs_url,gs_description,species_name,species_common_name,ortholog_sources,num_ortholog_sources
H,,HALLMARK_ADIPOGENESIS,11303,Abca1,19,ABCA1,M5905,,,,,Genes up-regulated during adipocyte differentiation (adipogenesis).,Mus musculus,house mouse,"Inparanoid,HomoloGene,EggNOG,NCBI,OrthoMCL,HGNC,Panther,OMA,Treefam,Ensembl,OrthoDB",11
H,,HALLMARK_ADIPOGENESIS,74610,Abcb8,11194,ABCB8,M5905,,,,,Genes up-regulated during adipocyte differentiation (adipogenesis).,Mus musculus,house mouse,"Inparanoid,HomoloGene,PhylomeDB,EggNOG,NCBI,OrthoMCL,HGNC,OMA,Panther,Treefam,Ensembl,OrthoDB",12
H,,HALLMARK_ADIPOGENESIS,52538,Acaa2,10449,ACAA2,M5905,,,,,Genes up-regulated during adipocyte differentiation (adipogenesis).,Mus musculus,house mouse,"Inparanoid,HomoloGene,EggNOG,NCBI,OrthoMCL,HGNC,OMA,Panther,Treefam,Ensembl,OrthoDB",11
H,,HALLMARK_ADIPOGENESIS,11363,Acadl,33,ACADL,M5905,,,,,Genes up-regulated during adipocyte differentiation (adipogenesis).,Mus musculus,house mouse,"Inparanoid,HomoloGene,EggNOG,NCBI,OrthoMCL,HGNC,OMA,Panther,Treefam,Ensembl,OrthoDB",11
H,,HALLMARK_ADIPOGENESIS,11364,Acadm,34,ACADM,M5905,,,,,Genes up-regulated during adipocyte differentiation (adipogenesis).,Mus musculus,house mouse,"Inparanoid,HomoloGene,PhylomeDB,EggNOG,NCBI,OrthoMCL,HGNC,OMA,Panther,Treefam,Ensembl,OrthoDB",12
H,,HALLMARK_ADIPOGENESIS,11409,Acads,35,ACADS,M5905,,,,,Genes up-regulated during adipocyte differentiation (adipogenesis).,Mus musculus,house mouse,"Inparanoid,HomoloGene,EggNOG,NCBI,OrthoMCL,HGNC,OMA,Panther,Treefam,Ensembl,OrthoDB",11
H,,HALLMARK_ADIPOGENESIS,104112,Acly,47,ACLY,M5905,,,,,Genes up-regulated during adipocyte differentiation (adipogenesis).,Mus musculus,house mouse,"Inparanoid,HomoloGene,EggNOG,NCBI,HGNC,OMA,Panther,Treefam,Ensembl,OrthoDB",10
H,,HALLMARK_ADIPOGENESIS,11429,Aco2,50,ACO2,M5905,,,,,Genes up-regulated during adipocyte differentiation (adipogenesis).,Mus musculus,house mouse,"Inparanoid,HomoloGene,PhylomeDB,EggNOG,NCBI,OrthoMCL,HGNC,OMA,Panther,Treefam,Ensembl,OrthoDB",12
H,,HALLMARK_ADIPOGENESIS,11430,Acox1,51,ACOX1,M5905,,,,,Genes up-regulated during adipocyte differentiation (adipogenesis).,Mus musculus,house mouse,"Inparanoid,HomoloGene,PhylomeDB,EggNOG,NCBI,OrthoMCL,HGNC,OMA,Panther,Treefam,Ensembl,OrthoDB",12
H,,HALLMARK_ADIPOGENESIS,11512,Adcy6,112,ADCY6,M5905,,,,,Genes up-regulated during adipocyte differentiation (adipogenesis).,Mus musculus,house mouse,"Inparanoid,HomoloGene,EggNOG,NCBI,OrthoMCL,HGNC,OMA,Panther,Treefam,Ensembl,OrthoDB",11
